sample,True R,True G,True B,Observed R,Observed G,Observed B,Red R,Red G,Red B,Green R,Green G,Green B,Blue R,Blue G,Blue B,camera
8002-12B_6_gamma_3,236,187,168,227,193,148,193,56,50,25,89,62,53,68,117,3
2003-6C_5,242,201,186,218,180,141,162,29,40,32,69,52,20,25,54,3
2002-6C_1_rotate_8,236,184,174,238,185,135,222,46,15,32,129,57,51,70,151,3
2002-4B_6_rotate_8,239,184,184,201,172,132,184,60,22,26,85,41,25,38,80,3
2002-4B_7_rotate_8,239,184,184,227,174,143,172,36,46,49,83,65,28,33,63,3
2003-6B_6_clahe_6,233,165,140,190,142,102,156,42,46,31,69,56,36,49,87,3
2003-6C_6_gamma_3,242,201,186,208,180,140,187,52,30,26,79,42,26,37,83,3
8002-12C_5_brightness_1,222,158,133,253,186,141,220,59,74,61,106,85,49,55,91,3
2002-4B_4_clahe_6,239,184,184,191,159,121,166,39,28,5,73,44,42,61,103,3
8002-12C_1_motion_blur_4,222,158,133,201,155,121,170,54,55,46,88,73,28,42,82,3
8002-12B_7_gaussian_blur_5,236,187,168,229,190,149,193,46,56,28,73,54,29,38,71,3
8002-9B_1_clahe_6,238,194,187,198,173,142,171,37,36,4,69,45,42,60,111,3
2001-4B_3_gaussian_blur_5,235,189,190,208,186,170,161,57,54,47,96,78,28,47,87,3
2003-6B_4_noise_7,233,165,140,236,168,102,219,46,16,29,122,49,48,63,139,3
2002-4B_6_gaussian_blur_5,239,184,184,202,172,133,182,60,23,25,84,41,27,41,82,3
2001-6B_2,125,179,176,240,181,139,219,50,20,39,126,57,58,74,153,3
2001-6B_4_hue_2,125,179,176,208,192,130,162,82,29,32,85,77,19,19,78,3
8002-12C_4_noise_7,222,158,133,236,169,101,225,55,25,47,139,62,65,81,162,3
2001-4B_2_noise_7,235,189,190,242,192,157,222,55,25,37,140,64,56,74,155,3
2002-6C_4_clahe_6,236,184,174,193,164,127,171,37,35,4,71,46,40,58,108,3
2001-6B_5,125,179,176,231,181,149,199,49,58,29,74,54,30,39,70,3
2003-6B_7_hue_2,233,165,140,243,164,125,217,55,84,35,84,55,35,50,79,3
8002-9B_3_noise_7,238,194,187,213,188,168,166,58,57,46,93,77,32,47,89,3
2002-6C_3_gaussian_blur_5,236,184,174,216,180,156,174,66,64,62,100,85,40,53,89,3
8002-9B_5_hue_2,238,194,187,188,162,126,168,52,21,18,68,35,19,29,71,3
8002-12C_5_motion_blur_4,222,158,133,190,132,94,162,25,37,25,64,46,16,21,51,3
2002-4B_6_noise_7,239,184,184,203,173,136,187,63,26,28,90,44,28,43,87,3
8002-9B_7_hue_2,238,194,187,244,181,127,207,23,28,30,83,53,31,35,80,3
2003-6C_5_clahe_6,242,201,186,177,141,105,139,3,24,18,57,39,21,26,56,3
2003-6B_5_gamma_3,233,165,140,201,148,104,163,28,42,25,66,48,25,30,60,3
8002-12B_5_clahe_6,236,187,168,159,130,89,153,20,10,3,54,21,18,31,75,3
8002-12C_5_gamma_3,222,158,133,185,126,86,157,20,32,21,58,41,13,17,46,3
2001-6B_3_motion_blur_4,125,179,176,236,175,132,219,46,16,38,130,61,50,68,147,3
2001-4B_4_brightness_1,235,189,190,204,178,141,175,39,25,4,69,39,21,41,91,3
8002-9B_8_clahe_6,238,194,187,187,162,125,172,15,9,3,82,38,39,63,127,3
2003-6C_4,242,201,186,225,200,160,194,52,50,24,87,61,47,63,115,3
2003-6B_5_motion_blur_4,233,165,140,201,145,102,160,28,39,25,63,45,24,29,58,3
8002-9B_2_gamma_3,238,194,187,219,161,119,158,21,29,35,60,41,16,18,39,3
8002-12B_8_rotate_8,236,187,168,229,197,149,212,57,42,36,119,74,57,76,142,3
8002-9B_2_rotate_8,238,194,187,225,173,134,171,31,40,48,75,56,27,29,54,3
8002-9B_3_rotate_8,238,194,187,213,188,168,165,57,56,44,91,75,29,45,86,3
8002-12B_4_brightness_1,236,187,168,223,187,151,180,63,73,66,100,85,55,60,86,3
2002-4B_7_gamma_3,239,184,184,231,184,156,183,48,60,59,97,78,40,46,79,3
2003-6B_5_hue_2,233,165,140,188,125,110,147,37,74,23,50,31,22,29,45,3
2003-6C_3,242,201,186,217,193,169,164,48,50,39,83,68,24,37,79,3
8002-12C_1_rotate_8,222,158,133,201,155,121,170,54,55,45,86,71,28,42,81,3
2001-4B_8_motion_blur_4,235,189,190,235,188,155,211,48,33,37,108,61,51,63,123,3
2002-6C_7_gamma_3,236,184,174,207,181,148,199,77,45,41,102,63,41,57,107,3
2001-6B_7_motion_blur_4,125,179,176,211,181,144,181,53,42,21,86,59,40,60,110,3
8002-12B_7_noise_7,236,187,168,230,191,150,195,48,58,29,76,56,31,39,75,3
2003-6C_7_noise_7,242,201,186,232,198,161,192,50,59,32,79,58,32,41,75,3
2001-6B_4,125,179,176,208,177,149,161,52,45,40,85,64,27,43,78,3
2001-6B_3_clahe_6,125,179,176,203,146,104,201,22,7,8,109,41,26,53,129,3
8002-12B_8_gaussian_blur_5,236,187,168,230,198,149,212,57,42,36,119,74,57,75,142,3
2001-6B_3,125,179,176,236,175,132,219,46,16,38,130,61,50,67,147,3
2003-6B_2_gaussian_blur_5,233,165,140,193,151,101,186,56,32,25,85,49,27,41,90,3
2003-6B_1_motion_blur_4,233,165,140,235,169,109,214,51,36,40,105,59,56,66,119,3
2003-6C_1_hue_2,242,201,186,254,208,171,238,29,31,44,146,55,67,101,169,3
8002-12B_5_rotate_8,236,187,168,202,170,129,182,53,29,24,78,43,24,35,79,3
8002-12B_4_rotate_8,236,187,168,214,172,132,165,32,43,34,73,55,21,27,56,3
2001-4B_8_gamma_3,235,189,190,235,188,155,211,48,33,36,108,61,51,62,123,3
2002-4B_5_motion_blur_4,239,184,184,210,180,153,156,52,43,36,84,62,23,39,74,3
8002-12B_1_motion_blur_4,236,187,168,241,193,131,220,51,20,40,127,58,58,75,154,3
2002-4B_1_rotate_8,239,184,184,238,180,142,219,46,14,35,131,58,52,70,148,3
2002-6C_6_rotate_8,236,184,174,222,167,136,171,30,44,43,74,56,26,30,59,3
2002-6C_7_rotate_8,236,184,174,196,167,129,187,59,30,26,84,45,26,40,87,3
8002-12B_6_gaussian_blur_5,236,187,168,227,193,147,193,54,49,25,88,61,51,67,116,3
2001-4B_2_motion_blur_4,235,189,190,242,190,153,222,47,16,33,130,58,51,69,150,3
8002-9B_3_clahe_6,238,194,187,180,155,135,141,35,39,22,70,56,21,40,80,3
2001-4B_2_gaussian_blur_5,235,189,190,242,190,153,222,47,16,32,129,58,51,69,150,3
2002-6C_6_brightness_1,236,184,174,179,129,102,133,9,20,22,50,35,3,7,34,3
2003-6C_4_gaussian_blur_5,242,201,186,225,200,160,194,52,50,25,87,61,48,64,115,3
2003-6C_4_gamma_3,242,201,186,219,192,149,186,40,40,17,73,49,35,51,102,3
2003-6B_2_hue_2,233,165,140,205,159,82,197,59,12,18,96,56,18,28,100,3
8002-9B_3_gaussian_blur_5,238,194,187,213,188,168,165,57,57,45,92,76,31,46,87,3
2002-6C_1_brightness_1,236,184,174,231,183,136,216,54,26,43,132,65,60,77,153,3
8002-12B_4_gamma_3,236,187,168,210,165,123,156,25,36,28,64,48,16,20,49,3
8002-12C_4_clahe_6,222,158,133,181,120,55,184,5,4,5,95,23,31,57,135,3
2001-4B_2_clahe_6,235,189,190,192,144,108,190,7,4,5,97,28,18,50,126,3
2002-6C_4_noise_7,236,184,174,217,189,153,191,62,56,30,101,73,53,70,122,3
8002-12B_7,236,187,168,229,190,149,193,46,56,28,73,54,29,38,71,3
8002-9B_1_noise_7,238,194,187,223,197,164,191,56,50,27,93,65,46,63,116,3
2002-6C_2_gaussian_blur_5,236,184,174,240,188,138,219,52,20,40,127,61,56,73,153,3
2001-4B_6_motion_blur_4,235,189,190,207,177,140,188,61,28,26,85,41,26,41,84,3
8002-12B_5_motion_blur_4,236,187,168,203,170,129,183,53,30,25,79,43,24,35,80,3
2002-4B_1_motion_blur_4,239,184,184,239,181,143,219,47,14,32,130,57,53,71,150,3
2002-4B_4_noise_7,239,184,184,218,187,149,186,60,45,24,97,64,53,74,120,3
2001-6B_2_gamma_3,125,179,176,241,188,148,222,59,25,48,135,66,66,84,160,3
2002-6C_6_clahe_6,236,184,174,203,150,119,142,2,24,32,63,47,31,35,64,3
2001-6B_8_clahe_6,125,179,176,197,147,113,170,3,7,3,71,28,39,53,114,3
8002-12C_6_noise_7,222,158,133,229,171,127,211,63,73,39,86,66,36,46,79,3
2002-4B_7_gaussian_blur_5,239,184,184,227,174,143,172,36,46,47,82,64,29,34,63,3
2003-6B_6_noise_7,233,165,140,214,167,130,179,67,66,58,99,85,41,55,97,3
2003-6C_6_hue_2,242,201,186,203,166,122,182,35,16,19,74,34,20,33,77,3
2003-6C_5_motion_blur_4,242,201,186,218,180,141,162,29,40,33,70,52,20,25,54,3
2002-4B_3_brightness_1,239,184,184,254,238,203,250,79,86,60,109,87,61,71,106,3
2001-6B_3_noise_7,125,179,176,237,179,137,217,54,26,45,140,68,58,75,154,3
2002-4B_5_gamma_3,239,184,184,212,182,155,158,54,45,38,87,65,25,42,76,3
2001-4B_1_gamma_3,235,189,190,238,182,147,219,43,19,33,121,56,47,64,146,3
8002-12C_7_gamma_3,222,158,133,210,162,114,193,51,49,22,85,59,44,61,115,3
8002-12B_7_clahe_6,236,187,168,192,157,117,168,13,38,14,60,42,35,43,78,3
8002-12C_7_rotate_8,222,158,133,213,165,117,195,54,51,25,89,63,48,65,119,3
8002-12C_6_rotate_8,222,158,133,228,167,122,212,57,65,35,78,59,31,40,71,3
2003-6B_7_gamma_3,233,165,140,234,182,135,213,69,78,43,88,68,42,51,82,3
2003-6C_7_clahe_6,242,201,186,208,174,137,175,26,42,25,68,48,34,41,73,3
2002-6C_4_motion_blur_4,236,184,174,215,185,147,187,52,46,23,87,61,44,62,112,3
8002-9B_5_rotate_8,238,194,187,201,175,143,183,57,31,24,80,43,25,38,82,3
2002-4B_8_gaussian_blur_5,239,184,184,238,179,146,215,49,40,41,111,64,55,65,126,3
2001-6B_1_clahe_6,125,179,176,212,157,124,170,29,46,49,76,57,44,48,73,3
2003-6B_3_gaussian_blur_5,233,165,140,237,170,99,220,50,19,41,127,57,58,74,153,3
8002-12B_8,236,187,168,230,198,150,212,57,42,36,119,74,57,75,142,3
2003-6C_1_motion_blur_4,242,201,186,240,204,147,221,46,15,31,128,57,51,69,152,3
8002-12B_1,236,187,168,241,193,131,220,51,20,40,127,58,58,75,154,3
8002-12C_8_brightness_1,222,158,133,191,122,62,177,8,3,5,71,22,19,28,87,3
8002-9B_2_hue_2,238,194,187,218,175,126,165,32,28,41,68,51,22,22,46,3
8002-9B_8_noise_7,238,194,187,229,201,164,210,60,40,34,120,73,57,76,143,3
8002-12C_1_gaussian_blur_5,222,158,133,200,154,120,170,54,55,46,87,73,28,41,82,3
2003-6B_6_brightness_1,233,165,140,159,111,71,123,11,10,11,39,27,0,1,33,3
2003-6C_5_noise_7,242,201,186,219,184,147,167,39,49,43,84,66,30,35,71,3
8002-12B_6,236,187,168,227,193,147,193,54,49,25,88,61,52,67,116,3
8002-12B_5_noise_7,236,187,168,205,173,134,189,60,36,29,91,50,29,42,93,3
2002-6C_5_gamma_3,236,184,174,224,174,134,190,36,46,18,57,39,18,25,53,3
2002-4B_4_gamma_3,239,184,184,213,178,137,174,47,32,17,77,49,40,57,100,3
2001-6B_2_noise_7,125,179,176,240,185,147,216,62,33,50,139,70,68,84,160,3
8002-12C_6_gaussian_blur_5,222,158,133,228,167,122,212,57,66,35,78,59,30,39,70,3
8002-9B_7,238,194,187,232,184,146,194,43,52,34,72,49,33,38,68,3
2001-4B_8_brightness_1,235,189,190,254,234,195,252,69,52,56,140,84,73,86,158,3
2003-6C_6_motion_blur_4,242,201,186,209,181,141,189,54,31,27,79,43,27,38,83,3
8002-9B_1_gamma_3,238,194,187,221,195,162,188,53,47,23,87,60,42,61,112,3
2002-6C_7_motion_blur_4,236,184,174,197,168,130,188,59,30,26,83,45,26,40,87,3
2003-6B_4_gaussian_blur_5,233,165,140,235,167,99,217,44,14,28,118,48,46,62,136,3
8002-12C_6_gamma_3,222,158,133,228,167,122,212,57,66,35,78,59,30,39,70,3
8002-12B_6_clahe_6,236,187,168,179,146,101,165,22,30,2,64,39,39,56,103,3
2001-6B_7_gaussian_blur_5,125,179,176,211,181,144,182,53,42,21,86,59,40,60,110,3
2001-6B_4_rotate_8,125,179,176,208,177,149,161,52,45,40,85,64,26,42,78,3
2001-4B_7,235,189,190,226,173,147,168,32,41,37,71,51,28,32,59,3
8002-12B_8_brightness_1,236,187,168,227,190,135,206,30,14,9,100,50,31,51,127,3
2001-6B_5_rotate_8,125,179,176,231,181,150,199,49,58,29,73,53,30,39,70,3
2003-6B_6_gamma_3,233,165,140,212,164,124,176,61,61,54,92,79,34,46,87,3
2003-6C_1_brightness_1,242,201,186,254,225,158,246,37,3,18,135,49,43,65,165,3
2003-6C_2_motion_blur_4,242,201,186,240,204,146,218,51,19,40,129,61,57,74,155,3
2002-4B_6_hue_2,239,184,184,202,146,115,182,13,6,18,84,23,19,47,81,3
2003-6B_1_rotate_8,233,165,140,236,170,110,215,53,38,38,104,56,56,66,119,3
2003-6B_8,233,165,140,219,169,120,193,52,50,25,88,63,52,68,120,3
2001-4B_8_noise_7,235,189,190,236,189,157,212,50,35,38,113,63,54,65,127,3
2003-6C_8_rotate_8,242,201,186,228,203,163,209,54,41,31,110,68,47,65,133,3
2003-6C_4_noise_7,242,201,186,227,201,164,196,57,55,28,97,68,51,68,122,3
2002-6C_4_gamma_3,236,184,174,217,187,151,190,57,50,26,92,65,47,67,117,3
2003-6B_1,233,165,140,235,169,109,214,51,36,40,105,59,56,66,119,3
8002-12C_8_motion_blur_4,222,158,133,230,163,106,217,53,40,45,114,67,64,73,131,3
8002-12B_4_noise_7,236,187,168,215,173,133,167,33,45,35,76,59,22,28,61,3
2002-6C_7_brightness_1,236,184,174,205,173,134,193,60,30,27,85,47,27,41,90,3
2002-6C_3_motion_blur_4,236,184,174,216,180,156,174,66,64,62,100,85,40,53,89,3
2003-6B_6,233,165,140,212,163,123,175,60,60,52,90,77,33,45,84,3
8002-9B_2_clahe_6,238,194,187,204,154,116,154,6,28,33,60,41,26,30,55,3
8002-9B_8,238,194,187,228,200,161,208,56,35,31,114,68,54,73,139,3
2001-4B_6,235,189,190,206,177,139,188,61,27,26,85,41,26,41,84,3
2001-4B_1_motion_blur_4,235,189,190,241,188,154,222,51,23,41,130,64,55,72,154,3
2001-4B_1_rotate_8,235,189,190,241,188,154,222,51,23,41,129,62,54,71,154,3
8002-9B_6_brightness_1,238,194,187,175,136,99,158,19,2,14,85,29,25,39,103,3
2002-4B_7_clahe_6,239,184,184,210,159,128,159,18,37,36,70,53,32,37,67,3
8002-12B_2_motion_blur_4,236,187,168,217,184,153,169,54,53,45,86,70,30,43,82,3
2001-4B_1,235,189,190,241,188,154,222,51,23,41,130,64,55,71,154,3
2002-4B_6_motion_blur_4,239,184,184,202,172,133,183,60,23,25,84,41,27,40,82,3
2001-4B_8,235,189,190,235,188,155,211,48,33,36,108,61,51,62,123,3
8002-9B_6,238,194,187,238,189,146,216,48,21,43,127,60,55,73,150,3
2003-6C_5_gamma_3,242,201,186,212,170,128,150,19,29,23,55,40,13,17,42,3
2003-6B_5_clahe_6,233,165,140,196,142,98,145,7,30,22,61,43,29,34,64,3
2002-6C_5_noise_7,236,184,174,229,185,150,198,52,62,30,78,57,28,39,73,3
2003-6B_7_brightness_1,233,165,140,221,158,105,193,36,44,12,55,36,13,20,49,3
2001-4B_3_clahe_6,235,189,190,176,154,140,145,41,42,17,68,51,27,46,86,3
8002-12B_5_gamma_3,236,187,168,198,165,122,179,48,25,21,73,37,18,29,74,3
8002-12C_5_clahe_6,222,158,133,159,105,69,144,3,25,10,49,31,19,24,54,3
2002-6C_5_gaussian_blur_5,236,184,174,227,182,146,197,47,58,26,69,50,25,34,65,3
8002-9B_1,238,194,187,223,197,164,190,55,49,25,89,62,45,63,114,3
2003-6B_8_motion_blur_4,233,165,140,219,169,120,193,52,50,25,88,62,53,69,121,3
8002-9B_8_gamma_3,238,194,187,228,201,162,209,58,37,34,117,71,57,76,142,3
2002-4B_2_motion_blur_4,239,184,184,242,183,143,220,51,21,41,128,60,56,73,152,3
2001-6B_3_gamma_3,125,179,176,235,178,136,220,50,17,42,134,64,54,71,151,3
2003-6B_7,233,165,140,230,170,120,204,53,61,30,71,53,30,37,66,3
2002-4B_5_noise_7,239,184,184,211,183,159,161,58,49,43,93,71,30,48,88,3
8002-12B_6_motion_blur_4,236,187,168,227,193,147,193,54,49,25,88,61,52,67,116,3
2002-4B_2_brightness_1,239,184,184,255,196,152,238,51,17,40,136,61,57,76,163,3
2003-6C_3_gaussian_blur_5,242,201,186,217,193,169,164,49,51,38,83,67,24,38,79,3
2001-4B_5_motion_blur_4,235,189,190,237,187,160,204,50,58,33,72,53,31,38,67,3
2002-4B_5_brightness_1,239,184,184,182,152,126,129,25,16,11,57,35,2,12,47,3
2003-6C_2_rotate_8,242,201,186,240,204,146,217,50,18,40,129,61,55,72,153,3
2003-6C_3_rotate_8,242,201,186,217,193,169,164,48,50,38,82,67,25,38,80,3
2001-4B_5_gaussian_blur_5,235,189,190,237,187,160,204,50,58,34,73,54,31,38,67,3
2001-6B_8_gaussian_blur_5,125,179,176,235,181,146,213,51,38,37,109,63,53,64,126,3
8002-12B_1_gaussian_blur_5,236,187,168,241,193,131,220,51,20,40,127,58,58,75,154,3
8002-12C_7_noise_7,222,158,133,214,166,118,196,56,53,25,93,65,48,66,122,3
2001-6B_5_hue_2,125,179,176,245,207,156,213,73,50,34,88,75,35,36,84,3
2001-4B_1_noise_7,235,189,190,242,189,155,224,54,28,44,136,67,56,73,155,3
2002-6C_7_clahe_6,236,184,174,165,137,100,164,35,14,6,65,29,28,41,89,3
2003-6B_7_noise_7,233,165,140,230,171,123,205,58,66,33,77,57,32,41,75,3
1001-4A,185,169,200,167,151,185,168,28,39,2,83,48,35,43,92,4
1001-4A,185,169,200,204,181,228,224,40,66,20,116,74,20,43,119,4
1003-3A,122,75,112,107,54,82,188,25,38,9,88,41,42,45,92,4
1003-3A,122,75,112,164,101,146,249,69,90,21,143,87,33,56,149,4
1003-3B,169,119,162,162,97,133,181,22,37,4,81,35,34,38,84,4
1003-3B,169,119,162,199,127,191,232,16,54,4,105,63,17,40,116,4
1003-3C,196,155,191,180,134,171,164,22,36,1,75,40,32,37,86,4
1003-3C,196,155,191,212,157,215,227,44,76,2,103,62,26,48,130,4
1004-3B,175,113,147,145,84,108,164,20,33,2,78,37,33,37,83,4
1004-3C,203,152,178,176,133,153,163,22,36,1,78,44,30,36,86,4
1004-3C,203,152,178,222,164,204,232,51,79,17,118,75,29,50,135,4
1007-5C,197,144,152,188,130,132,174,24,35,3,80,38,36,40,86,4
1007-5C,197,144,152,232,165,184,233,24,58,4,113,66,23,47,129,4
1008-3C,202,121,131,184,101,109,167,16,30,0,78,38,29,34,82,4
1008-3C,202,121,131,235,130,153,225,15,52,6,106,61,20,40,117,4
1008-5C,188,123,126,169,110,100,172,22,32,1,66,29,23,30,66,4
1008-5C,188,123,126,228,153,161,238,56,79,20,121,75,24,47,130,4
2001-3C,218,130,131,199,111,105,168,21,35,2,77,39,33,38,85,4
2001-3C,218,130,131,243,133,140,231,21,55,2,103,55,25,41,117,4
2002-3B,200,99,97,179,77,63,169,23,22,12,78,33,38,38,75,4
2002-3B,200,99,97,247,118,124,245,39,73,5,116,65,29,50,138,5
8002-8F,151,58,60,149,31,32,196,0,7,0,76,34,16,43,104,5
8007-6G,236,235,232,212,212,203,174,0,0,0,71,30,2,30,85,5
P340-3,232,224,151,193,198,106,176,0,13,0,71,33,7,33,85,5
P350-3,231,221,167,194,197,126,185,0,16,0,81,44,12,36,93,5
P370-5,166,188,123,121,176,83,159,0,0,0,68,28,0,21,81,5
P440-3,157,217,204,128,185,173,180,0,3,0,71,28,7,30,81,5
P480-7,0,102,123,0,69,113,209,0,0,0,90,38,12,42,108,5
P490-7,0,117,151,0,86,151,198,0,4,0,82,37,13,45,107,5
8002-8F,151,58,60,149,31,32,196,0,7,0,76,34,16,43,104,5
8007-6G,236,235,232,212,212,203,174,0,0,0,71,30,2,30,85,5
P340-3,232,224,151,193,198,106,176,0,13,0,71,33,7,33,85,5
P350-3,231,221,167,194,197,126,185,0,16,0,81,44,12,36,93,5
P370-5,166,188,123,121,176,83,159,0,0,0,68,28,0,21,81,5
P440-3,157,217,204,128,185,173,180,0,3,0,71,28,7,30,81,5
P480-7,0,102,123,0,69,113,209,0,0,0,90,38,12,42,108,5
P490-7,0,117,151,0,86,151,198,0,4,0,82,37,13,45,107,5
